what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepInto",1392438648363
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepInto",1392438649270
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.ClassFileEditor",1392438649551
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1392438649894
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1392438651785
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1392438653207
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1392438653957
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1392438667021
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1392438672537
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.500.v201104151900,"org.eclipse.jst.j2ee.J2EEPerspective",1392438674928
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392438701740
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392438702646
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392438703115
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392438704459
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392438707601
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392438708508
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392438709726
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392438711054
activated,perspective,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugPerspective",1392438711164
activated,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugView",1392438718070
