what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392691311526
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392691482038
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392691484616
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392695207890
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1392695225431
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.smartEnter",1392695321301
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1392695344222
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1392695346925
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1392695362729
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.smartEnter",1392695445203
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.smartEnter",1392695469961
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.smartEnter",1392695504812
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.smartEnter",1392695514016
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1392695517266
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1392695555620
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.smartEnter",1392695587431
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1392695602355
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1392695627963
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.smartEnter",1392695675538
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1392695722903
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392695724716
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392695726278
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392695727342
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392695788137
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1392695788325
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392695802501
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392695839365
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392695840771
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392696242055
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392696246293
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392696642446
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392863951785
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392863955992
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392864017555
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392864020992
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392864138293
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392864139558
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392864189771
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392864191005
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392864543180
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392864544462
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392864564589
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392864565808
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392864631389
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392864662877
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392869675863
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1392869676019
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392869676597
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392869678113
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392869678711
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392869728414
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392869729478
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392869735634
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392869737185
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392869750210
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392869751460
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392921809711
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1392921817602
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1392921817664
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1392921826700
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1392921826981
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1392922260213
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1392922260494
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1392922260916
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1392922261182
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392922635129
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392922851422
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk",1392922865049
started,bundle,org.eclipse.equinox.p2.ui,2.1.0.v20110601,"org.eclipse.equinox.p2.ui",1392922865065
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk.update",1392922867003
started,bundle,org.eclipse.equinox.p2.transport.ecf,1.0.0.v20110510,"org.eclipse.equinox.p2.transport.ecf",1392922867003
started,bundle,org.eclipse.ecf.filetransfer,5.0.0.v20110531-2218,"org.eclipse.ecf.filetransfer",1392922867018
started,bundle,org.eclipse.ecf.identity,3.1.100.v20110531-2218,"org.eclipse.ecf.identity",1392922867034
started,bundle,org.eclipse.ecf,3.1.300.v20110531-2218,"org.eclipse.ecf",1392922867049
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer.httpclient",1392922867081
started,bundle,org.eclipse.ecf.provider.filetransfer,3.2.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer",1392922867081
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392922867268
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392922869831
